,id,device_id,active_power,direct_power,charge_capacity,date_time,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,difference,cc_diff,active_power_b,date_time_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b
5,19128,6,65.24,66.29,195.2,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1,-1,996.92,942.2534001647168,0 days 03:00:00,174.89999999999998,31.25,2023-09-14 08:00:00,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.366227270996
6,19129,7,72.97,74.12,196.3,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1,-1,996.92,942.2534001647168,0 days 03:00:00,176.5,35.22,2023-09-14 08:00:00,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.366227270996
7,19130,8,65.92,66.98,199.0,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1,-1,996.92,942.2534001647168,0 days 03:00:00,178.3,39.62,2023-09-14 08:00:00,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.366227270996
8,19131,9,72.45,73.67,232.2,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1,-1,996.92,942.2534001647168,0 days 03:00:00,205.0,50.39,2023-09-14 08:00:00,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.366227270996
9,19132,10,60.01,60.98,182.0,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1,-1,996.92,942.2534001647168,0 days 03:00:00,164.6,25.24,2023-09-14 08:00:00,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.366227270996
10,19218,6,77.74,79.08,444.6,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1,-1,995.86,801.4503840677947,0 days 03:00:00,249.40000000000003,65.24,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.2534001647168
11,19219,7,79.34,80.84,447.2,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1,-1,995.86,801.4503840677947,0 days 03:00:00,250.89999999999998,72.97,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.2534001647168
12,19220,8,77.25,78.58,450.9,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1,-1,995.86,801.4503840677947,0 days 03:00:00,251.89999999999998,65.92,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.2534001647168
13,19221,9,81.16,82.51,492.9,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1,-1,995.86,801.4503840677947,0 days 03:00:00,260.7,72.45,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.2534001647168
14,19222,10,78.86,80.19,419.1,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1,-1,995.86,801.4503840677947,0 days 03:00:00,237.10000000000002,60.01,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.2534001647168
15,19308,6,11.43,11.73,565.7,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1,0,996.39,136.0347580751182,0 days 03:00:00,121.10000000000002,77.74,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.4503840677947
16,19309,7,8.81,9.11,571.1,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1,0,996.39,136.0347580751182,0 days 03:00:00,123.90000000000003,79.34,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.4503840677947
17,19310,8,7.89,8.11,565.2,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1,0,996.39,136.0347580751182,0 days 03:00:00,114.30000000000007,77.25,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.4503840677947
18,19311,9,10.24,10.67,614.2,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1,0,996.39,136.0347580751182,0 days 03:00:00,121.30000000000007,81.16,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.4503840677947
19,19312,10,11.47,11.85,549.7,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1,0,996.39,136.0347580751182,0 days 03:00:00,130.60000000000002,78.86,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.4503840677947
20,19398,6,0.0,0.0,568.1,2023-09-14 20:00:00,28.0,79.0,2.0,0.0,1,0,998.11,0.0,0 days 03:00:00,2.3999999999999773,11.43,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.0347580751182
21,19399,7,0.0,0.0,573.3,2023-09-14 20:00:00,28.0,79.0,2.0,0.0,1,0,998.11,0.0,0 days 03:00:00,2.199999999999932,8.81,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.0347580751182
22,19400,8,0.0,0.0,567.3,2023-09-14 20:00:00,28.0,79.0,2.0,0.0,1,0,998.11,0.0,0 days 03:00:00,2.099999999999909,7.89,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.0347580751182
23,19401,9,0.0,0.0,616.7,2023-09-14 20:00:00,28.0,79.0,2.0,0.0,1,0,998.11,0.0,0 days 03:00:00,2.5,10.24,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.0347580751182
24,19402,10,0.0,0.0,552.1,2023-09-14 20:00:00,28.0,79.0,2.0,0.0,1,0,998.11,0.0,0 days 03:00:00,2.3999999999999773,11.47,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.0347580751182
30,19758,6,16.76,17.11,20.1,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1,0,998.64,442.11895723296425,0 days 03:00:00,20.1,0.0,2023-09-15 05:00:00,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0
31,19759,7,46.7,47.42,19.1,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1,0,998.64,442.11895723296425,0 days 03:00:00,19.1,0.0,2023-09-15 05:00:00,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0
32,19760,8,45.2,45.87,20.0,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1,0,998.64,442.11895723296425,0 days 03:00:00,20.0,0.0,2023-09-15 05:00:00,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0
33,19761,9,62.12,62.96,25.3,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1,0,998.64,442.11895723296425,0 days 03:00:00,25.3,0.0,2023-09-15 05:00:00,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0
34,19762,10,15.29,15.63,17.4,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1,0,998.64,442.11895723296425,0 days 03:00:00,17.4,0.0,2023-09-15 05:00:00,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0
35,19848,6,52.47,53.22,112.9,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1,1,998.24,943.0031093660924,0 days 03:00:00,92.80000000000001,16.76,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.11895723296425
36,19849,7,52.39,53.15,114.6,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1,1,998.24,943.0031093660924,0 days 03:00:00,95.5,46.7,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.11895723296425
37,19850,8,70.19,71.37,116.9,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1,1,998.24,943.0031093660924,0 days 03:00:00,96.9,45.2,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.11895723296425
38,19851,9,78.36,80.12,134.2,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1,1,998.24,943.0031093660924,0 days 03:00:00,108.89999999999999,62.12,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.11895723296425
39,19852,10,51.94,52.71,107.1,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1,1,998.24,943.0031093660924,0 days 03:00:00,89.69999999999999,15.29,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.11895723296425
40,19938,6,48.47,49.18,348.8,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1,-1,996.66,800.61131162937,0 days 03:00:00,235.9,52.47,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0031093660924
41,19939,7,48.92,49.59,351.3,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1,-1,996.66,800.61131162937,0 days 03:00:00,236.70000000000002,52.39,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0031093660924
42,19940,8,49.33,50.04,353.5,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1,-1,996.66,800.61131162937,0 days 03:00:00,236.6,70.19,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0031093660924
43,19941,9,51.83,52.64,393.8,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1,-1,996.66,800.61131162937,0 days 03:00:00,259.6,78.36,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0031093660924
44,19942,10,48.47,49.18,331.3,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1,-1,996.66,800.61131162937,0 days 03:00:00,224.20000000000002,51.94,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0031093660924
45,19983,6,7.9,8.22,440.4,2023-09-15 17:00:00,29.7,79.0,3.0,0.0,1,0,996.52,133.10781175167176,0 days 03:00:00,91.59999999999997,48.47,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61131162937
46,19984,7,8.95,9.25,444.4,2023-09-15 17:00:00,29.7,79.0,3.0,0.0,1,0,996.52,133.10781175167176,0 days 03:00:00,93.09999999999997,48.92,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61131162937
47,19985,8,5.79,6.08,434.3,2023-09-15 17:00:00,29.7,79.0,3.0,0.0,1,0,996.52,133.10781175167176,0 days 03:00:00,80.80000000000001,49.33,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61131162937
48,19986,9,5.4,5.84,483.9,2023-09-15 17:00:00,29.7,79.0,3.0,0.0,1,0,996.52,133.10781175167176,0 days 03:00:00,90.09999999999997,51.83,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61131162937
