,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p)
0,19038,6,31.25,31.67,20.3,27.5,83.0,0.0,0,-1,0,441.366227270996,996.39
1,19039,7,35.22,35.67,19.8,27.5,83.0,0.0,0,-1,0,441.366227270996,996.39
2,19040,8,39.62,40.14,20.7,27.5,83.0,0.0,0,-1,0,441.366227270996,996.39
3,19041,9,50.39,51.03,27.2,27.5,83.0,0.0,0,-1,0,441.366227270996,996.39
4,19042,10,25.24,25.64,17.4,27.5,83.0,0.0,0,-1,0,441.366227270996,996.39
5,19128,6,65.24,66.29,195.2,31.2,60.0,2.0,0,1,-1,942.2534001647168,996.92
6,19129,7,72.97,74.12,196.3,31.2,60.0,2.0,0,1,-1,942.2534001647168,996.92
7,19130,8,65.92,66.98,199.0,31.2,60.0,2.0,0,1,-1,942.2534001647168,996.92
8,19131,9,72.45,73.67,232.2,31.2,60.0,2.0,0,1,-1,942.2534001647168,996.92
9,19132,10,60.01,60.98,182.0,31.2,60.0,2.0,0,1,-1,942.2534001647168,996.92
10,19218,6,77.74,79.08,444.6,31.2,63.0,3.0,0,1,-1,801.4503840677947,995.86
11,19219,7,79.34,80.84,447.2,31.2,63.0,3.0,0,1,-1,801.4503840677947,995.86
12,19220,8,77.25,78.58,450.9,31.2,63.0,3.0,0,1,-1,801.4503840677947,995.86
13,19221,9,81.16,82.51,492.9,31.2,63.0,3.0,0,1,-1,801.4503840677947,995.86
14,19222,10,78.86,80.19,419.1,31.2,63.0,3.0,0,1,-1,801.4503840677947,995.86
15,19308,6,11.43,11.73,565.7,28.6,75.0,5.0,0,1,0,136.0347580751182,996.39
16,19309,7,8.81,9.11,571.1,28.6,75.0,5.0,0,1,0,136.0347580751182,996.39
17,19310,8,7.89,8.11,565.2,28.6,75.0,5.0,0,1,0,136.0347580751182,996.39
18,19311,9,10.24,10.67,614.2,28.6,75.0,5.0,0,1,0,136.0347580751182,996.39
19,19312,10,11.47,11.85,549.7,28.6,75.0,5.0,0,1,0,136.0347580751182,996.39
40,19758,6,16.76,17.11,20.1,27.9,83.0,2.0,0,-1,0,442.11895723296425,998.64
41,19759,7,46.7,47.42,19.1,27.9,83.0,2.0,0,-1,0,442.11895723296425,998.64
42,19760,8,45.2,45.87,20.0,27.9,83.0,2.0,0,-1,0,442.11895723296425,998.64
43,19761,9,62.12,62.96,25.3,27.9,83.0,2.0,0,-1,0,442.11895723296425,998.64
44,19762,10,15.29,15.63,17.4,27.9,83.0,2.0,0,-1,0,442.11895723296425,998.64
45,19848,6,52.47,53.22,112.9,32.0,58.0,1.0,0,-1,1,943.0031093660923,998.24
46,19849,7,52.39,53.15,114.6,32.0,58.0,1.0,0,-1,1,943.0031093660923,998.24
47,19850,8,70.19,71.37,116.9,32.0,58.0,1.0,0,-1,1,943.0031093660923,998.24
48,19851,9,78.36,80.12,134.2,32.0,58.0,1.0,0,-1,1,943.0031093660923,998.24
49,19852,10,51.94,52.71,107.1,32.0,58.0,1.0,0,-1,1,943.0031093660923,998.24
50,19938,6,48.47,49.18,348.8,31.5,67.0,4.0,0,1,-1,800.61131162937,996.66
51,19939,7,48.92,49.59,351.3,31.5,67.0,4.0,0,1,-1,800.61131162937,996.66
52,19940,8,49.33,50.04,353.5,31.5,67.0,4.0,0,1,-1,800.61131162937,996.66
53,19941,9,51.83,52.64,393.8,31.5,67.0,4.0,0,1,-1,800.61131162937,996.66
54,19942,10,48.47,49.18,331.3,31.5,67.0,4.0,0,1,-1,800.61131162937,996.66
55,19983,6,7.9,8.22,440.4,29.7,79.0,3.0,0,1,0,133.10781175167176,996.52
56,19984,7,8.95,9.25,444.4,29.7,79.0,3.0,0,1,0,133.10781175167176,996.52
57,19985,8,5.79,6.08,434.3,29.7,79.0,3.0,0,1,0,133.10781175167176,996.52
58,19986,9,5.4,5.84,483.9,29.7,79.0,3.0,0,1,0,133.10781175167176,996.52
59,19987,10,15.35,15.77,432.9,29.7,79.0,3.0,0,1,0,133.10781175167176,996.52
80,21568,6,14.2,14.56,17.6,27.8,84.0,0.0,0,-1,1,443.1071197828361,999.04
81,21569,7,15.51,15.81,18.2,27.8,84.0,0.0,0,-1,1,443.1071197828361,999.04
82,21570,8,14.87,15.17,18.0,27.8,84.0,0.0,0,-1,1,443.1071197828361,999.04
83,21571,9,15.36,15.7,19.0,27.8,84.0,0.0,0,-1,1,443.1071197828361,999.04
84,21572,10,14.0,14.3,17.0,27.8,84.0,0.0,0,-1,1,443.1071197828361,999.04
85,21658,6,48.18,48.93,110.4,29.0,78.0,1.0,0,-1,-1,944.0196982619292,999.3
