,id,device_id,gather_time,active_power,direct_power,charge_capacity,date_time,difference
38,19038,6,2023-09-14 08:00:15,31.25,31.67,20.3,2023-09-14 08:00:00,
39,19039,7,2023-09-14 08:00:15,35.22,35.67,19.8,2023-09-14 08:00:00,
40,19040,8,2023-09-14 08:00:15,39.62,40.14,20.7,2023-09-14 08:00:00,
41,19041,9,2023-09-14 08:00:15,50.39,51.03,27.2,2023-09-14 08:00:00,
42,19042,10,2023-09-14 08:00:15,25.24,25.64,17.4,2023-09-14 08:00:00,
988,19988,6,2023-09-15 17:04:40,7.9,8.22,440.4,2023-09-15 17:00:00,0 days 00:00:00
989,19989,7,2023-09-15 17:04:40,8.95,9.25,444.4,2023-09-15 17:00:00,0 days 00:00:00
990,19990,8,2023-09-15 17:04:41,5.79,6.08,434.3,2023-09-15 17:00:00,0 days 00:00:00
991,19991,9,2023-09-15 17:04:41,5.4,5.84,483.9,2023-09-15 17:00:00,0 days 00:00:00
992,19992,10,2023-09-15 17:04:41,15.35,15.77,432.9,2023-09-15 17:00:00,0 days 00:00:00
993,19993,6,2023-09-15 17:04:50,7.9,8.22,440.4,2023-09-15 17:00:00,0 days 00:00:00
994,19994,7,2023-09-15 17:04:50,8.95,9.25,444.4,2023-09-15 17:00:00,0 days 00:00:00
995,19995,8,2023-09-15 17:04:50,5.79,6.08,434.3,2023-09-15 17:00:00,0 days 00:00:00
996,19996,9,2023-09-15 17:04:50,5.4,5.84,483.9,2023-09-15 17:00:00,0 days 00:00:00
997,19997,10,2023-09-15 17:04:50,15.35,15.77,432.9,2023-09-15 17:00:00,0 days 00:00:00
998,19998,6,2023-09-15 17:05:00,7.9,8.22,440.4,2023-09-15 17:00:00,0 days 00:00:00
999,19999,7,2023-09-15 17:05:00,8.95,9.25,444.4,2023-09-15 17:00:00,0 days 00:00:00
1000,20000,8,2023-09-15 17:05:00,5.79,6.08,434.3,2023-09-15 17:00:00,0 days 00:00:00
1001,20001,9,2023-09-15 17:05:00,5.4,5.84,483.9,2023-09-15 17:00:00,0 days 00:00:00
1002,20002,10,2023-09-15 17:05:00,15.35,15.77,432.9,2023-09-15 17:00:00,0 days 00:00:00
1003,20003,6,2023-09-15 17:05:10,7.9,8.22,440.4,2023-09-15 17:00:00,0 days 00:00:00
1004,20004,7,2023-09-15 17:05:10,8.95,9.25,444.4,2023-09-15 17:00:00,0 days 00:00:00
1005,20005,8,2023-09-15 17:05:10,5.79,6.08,434.3,2023-09-15 17:00:00,0 days 00:00:00
1006,20006,9,2023-09-15 17:05:10,5.4,5.84,483.9,2023-09-15 17:00:00,0 days 00:00:00
1007,20007,10,2023-09-15 17:05:10,15.35,15.77,432.9,2023-09-15 17:00:00,0 days 00:00:00
1008,20008,6,2023-09-15 17:05:20,7.9,8.22,440.4,2023-09-15 17:00:00,0 days 00:00:00
1009,20009,7,2023-09-15 17:05:20,8.95,9.25,444.4,2023-09-15 17:00:00,0 days 00:00:00
1010,20010,8,2023-09-15 17:05:20,5.79,6.08,434.3,2023-09-15 17:00:00,0 days 00:00:00
1011,20011,9,2023-09-15 17:05:20,5.4,5.84,483.9,2023-09-15 17:00:00,0 days 00:00:00
1012,20012,10,2023-09-15 17:05:20,15.35,15.77,432.9,2023-09-15 17:00:00,0 days 00:00:00
1013,20013,6,2023-09-15 17:05:30,7.9,8.22,440.4,2023-09-15 17:00:00,0 days 00:00:00
1014,20014,7,2023-09-15 17:05:30,8.95,9.25,444.4,2023-09-15 17:00:00,0 days 00:00:00
1015,20015,8,2023-09-15 17:05:30,5.79,6.08,434.3,2023-09-15 17:00:00,0 days 00:00:00
1016,20016,9,2023-09-15 17:05:30,5.4,5.84,483.9,2023-09-15 17:00:00,0 days 00:00:00
1017,20017,10,2023-09-15 17:05:30,15.35,15.77,432.9,2023-09-15 17:00:00,0 days 00:00:00
1018,20018,6,2023-09-15 17:05:40,7.9,8.22,440.4,2023-09-15 17:00:00,0 days 00:00:00
1019,20019,7,2023-09-15 17:05:40,8.95,9.25,444.4,2023-09-15 17:00:00,0 days 00:00:00
