,id,device_id,active_power,direct_power,charge_capacity,date_time,T,Po,U,Ff,VV,Td,RRR,DDN
0,19038,6,31.25,31.67,20.3,2023-09-14 08:00:00,27.5,753.7,83.0,0.0,4.9,24.4,0.0,12.0
5,19128,6,65.24,66.29,195.2,2023-09-14 11:00:00,31.2,754.1,60.0,2.0,18.0,22.5,0.0,6.0
10,19218,6,77.74,79.08,444.6,2023-09-14 14:00:00,31.2,753.3,63.0,3.0,19.0,23.3,0.0,6.0
15,19308,6,11.43,11.73,565.7,2023-09-14 17:00:00,28.6,753.7,75.0,5.0,19.0,23.7,0.0,4.0
20,19398,6,0.0,0.0,568.1,2023-09-14 20:00:00,28.0,755.0,79.0,2.0,19.0,24.0,0.0,4.0
25,19488,6,0.0,0.0,568.1,2023-09-14 23:00:00,27.7,755.5,82.0,2.0,19.0,24.3,0.0,4.0
30,19578,6,0.0,0.0,0.0,2023-09-15 02:00:00,27.2,754.6,86.0,2.0,17.0,24.7,0.0,4.0
35,19668,6,0.0,0.0,0.0,2023-09-15 05:00:00,26.7,754.3,86.0,1.0,18.0,24.2,0.0,4.0
40,19758,6,16.76,17.11,20.1,2023-09-15 08:00:00,27.9,755.4,83.0,2.0,7.0,24.7,0.0,12.0
45,19848,6,52.47,53.22,112.9,2023-09-15 11:00:00,32.0,755.1,58.0,1.0,18.0,22.7,0.0,6.0
50,19938,6,48.47,49.18,348.8,2023-09-15 14:00:00,31.5,753.9,67.0,4.0,18.0,24.6,0.0,5.0
55,19983,6,7.9,8.22,440.4,2023-09-15 17:00:00,29.7,753.8,79.0,3.0,20.0,25.7,0.0,4.0
60,21208,6,0.0,0.0,443.8,2023-09-15 20:00:00,28.3,755.1,83.0,2.0,17.0,25.1,0.0,5.0
65,21298,6,0.0,0.0,443.8,2023-09-15 23:00:00,27.9,755.3,85.0,1.0,20.0,25.1,0.0,8.0
70,21388,6,0.0,0.0,0.0,2023-09-16 02:00:00,26.7,754.9,89.0,1.0,8.0,24.7,0.0,9.0
75,21478,6,0.0,0.0,0.0,2023-09-16 05:00:00,26.3,754.8,91.0,1.0,5.0,24.7,0.0,12.0
80,21568,6,14.2,14.56,17.6,2023-09-16 08:00:00,27.8,755.7,84.0,0.0,13.0,24.8,0.0,9.0
85,21658,6,48.18,48.93,110.4,2023-09-16 11:00:00,29.0,755.9,78.0,1.0,10.0,24.8,0.0,11.0
90,21748,6,29.67,30.12,226.6,2023-09-16 14:00:00,30.1,754.5,73.0,1.0,10.0,24.7,0.0,7.0
95,21838,6,17.39,17.7,279.5,2023-09-16 17:00:00,31.1,754.0,70.0,1.0,10.0,25.0,0.0,3.0
100,21928,6,0.0,0.0,287.1,2023-09-16 20:00:00,27.9,754.7,74.0,1.0,16.0,22.8,0.0,12.0
105,22018,6,0.0,0.0,287.1,2023-09-16 23:00:00,26.6,755.2,80.0,2.0,19.0,22.9,0.0,12.0
110,22108,6,0.0,0.0,0.0,2023-09-17 02:00:00,25.7,754.8,85.0,1.0,12.0,23.0,0.0,11.0
115,22198,6,0.0,0.0,0.0,2023-09-17 05:00:00,24.8,754.6,90.0,2.0,6.0,23.0,0.0,12.0
120,22288,6,38.26,38.78,31.1,2023-09-17 08:00:00,26.9,755.8,80.0,1.0,18.0,23.2,0.0,11.0
125,22378,6,85.57,87.01,221.1,2023-09-17 11:00:00,32.3,755.5,60.0,1.0,19.0,23.5,0.0,8.0
130,22468,6,68.22,69.3,427.6,2023-09-17 14:00:00,32.1,754.0,66.0,4.0,13.0,24.9,0.0,5.0
135,22558,6,4.52,4.84,542.3,2023-09-17 17:00:00,29.7,754.3,80.0,2.0,11.0,25.9,0.0,6.0
140,22648,6,0.0,0.0,545.9,2023-09-17 20:00:00,28.7,755.3,86.0,2.0,7.0,26.1,0.0,4.0
145,22738,6,0.0,0.0,545.9,2023-09-17 23:00:00,27.8,755.9,74.0,1.0,19.0,22.7,0.0,2.0
150,22828,6,0.0,0.0,0.0,2023-09-18 02:00:00,27.4,755.5,83.0,1.0,12.0,24.3,0.0,0.0
155,22918,6,0.0,0.0,0.0,2023-09-18 05:00:00,26.3,755.5,87.0,1.0,11.0,24.0,0.0,12.0
160,23008,6,38.21,38.76,30.8,2023-09-18 08:00:00,28.0,756.7,86.0,1.0,3.8,25.4,0.0,10.0
165,23098,6,79.98,81.31,177.4,2023-09-18 11:00:00,32.0,756.4,63.0,2.0,12.0,24.1,0.0,10.0
170,23188,6,68.76,69.89,419.4,2023-09-18 14:00:00,32.7,755.2,63.0,3.0,14.0,24.7,0.0,5.0
175,23273,6,8.73,9.05,540.3,2023-09-18 17:00:00,30.3,755.5,71.0,3.0,19.0,24.5,0.0,5.0
180,23363,6,0.0,0.0,544.2,2023-09-18 20:00:00,28.7,756.9,77.0,2.0,20.0,24.3,0.0,5.0
185,23453,6,0.0,0.0,544.2,2023-09-18 23:00:00,28.1,757.3,81.0,1.0,20.0,24.5,0.0,8.0
190,23543,6,0.0,0.0,0.0,2023-09-19 02:00:00,27.1,756.5,83.0,1.0,19.0,24.0,0.0,12.0
195,23633,6,0.0,0.0,0.0,2023-09-19 05:00:00,25.8,755.9,92.0,2.0,3.0,24.4,0.0,12.0
200,23723,6,39.26,39.82,32.8,2023-09-19 08:00:00,28.0,757.2,81.0,1.0,7.0,24.4,0.0,12.0
205,23813,6,83.9,85.35,221.0,2023-09-19 11:00:00,32.4,756.9,60.0,2.0,19.0,23.6,0.0,6.0
210,23903,6,73.65,74.94,470.0,2023-09-19 14:00:00,32.3,755.7,61.0,2.0,19.0,23.8,0.0,7.0
215,23993,6,12.81,13.07,598.1,2023-09-19 17:00:00,30.0,755.5,74.0,3.0,20.0,24.9,0.0,6.0
220,24083,6,0.0,0.0,602.9,2023-09-19 20:00:00,28.5,756.4,80.0,1.0,19.0,24.7,0.0,6.0
225,24173,6,0.0,0.0,602.9,2023-09-19 23:00:00,28.2,756.3,81.0,2.0,20.0,24.6,0.0,9.0
230,24263,6,0.0,0.0,0.0,2023-09-20 02:00:00,27.0,755.5,85.0,1.0,20.0,24.3,0.0,12.0
235,24353,6,0.0,0.0,0.0,2023-09-20 05:00:00,26.2,755.5,91.0,2.0,6.0,24.6,0.0,12.0
240,24443,6,37.32,37.85,31.0,2023-09-20 08:00:00,28.2,755.9,80.0,1.0,17.0,24.4,0.0,12.0
