,当地时间 温州市,T,Po,P,Pa,U,DD,Ff,ff3,WW,W1,W2,Tn,Tx,H,VV,Td,RRR,tR,date_time
0,14.09.2023 02:00,25.9,753.1,756.5,-0.1,86.0,从西北偏西方向吹来的风,1.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.8,31.5,2500或更高，或无云。,8.0,23.4,无降水,12.0,2023-09-14 06:40:15
1,,30.549999999999997,756.5,,,69.0,,1.5,,,,,,,,17.0,24.049999999999997,无降水,,2023-09-26 15:30:00
2,14.09.2023 05:00,25.1,752.8,756.2,-0.3,91.0,从西方吹来的风,2.0,6.0,霾 ,,,25.1,31.5,2500或更高，或无云。,2.6,23.5,无降水,12.0,2023-09-14 06:40:15
3,14.09.2023 08:00,27.5,753.7,757.0,0.9,83.0,从西方吹来的风,0.0,4.0,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.9,31.5,2500或更高，或无云。,4.9,24.4,无降水,12.0,2023-09-14 06:40:15
4,14.09.2023 11:00,31.2,754.1,757.4,,60.0,从东南方吹来的风,2.0,5.0, ,,,24.9,31.7,,18.0,22.5,无降水,6.0,2023-09-14 06:50:15
5,14.09.2023 14:00,31.2,753.3,756.6,,63.0,从东南方吹来的风,3.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.9,31.7,2500或更高，或无云。,19.0,23.3,无降水,12.0,2023-09-14 06:50:15
6,14.09.2023 17:00,28.6,753.7,757.0,0.4,75.0,从东方吹来的风,5.0,8.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.9,31.7,2500或更高，或无云。,19.0,23.7,无降水,12.0,2023-09-14 06:50:15
7,14.09.2023 20:00,28.0,755.0,758.4,1.3,79.0,从东方吹来的风,2.0,8.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.9,31.7,2500或更高，或无云。,19.0,24.0,无降水,12.0,2023-09-14 06:50:15
8,14.09.2023 23:00,27.7,755.5,758.8,0.5,82.0,从东方吹来的风,2.0,8.0,云量发展情况没有进行观测或无法观测。 ,,,24.9,31.7,2500或更高，或无云。,19.0,24.3,无降水,12.0,2023-09-14 06:50:15
9,15.09.2023 02:00,27.2,754.6,757.9,-0.9,86.0,从东方吹来的风,2.0,8.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.9,31.7,2500或更高，或无云。,17.0,24.7,无降水,12.0,2023-09-14 07:00:15
10,15.09.2023 05:00,26.7,754.3,757.6,-0.3,86.0,从东方吹来的风,1.0,7.0,云量发展情况没有进行观测或无法观测。 ,,,24.9,,2500或更高，或无云。,18.0,24.2,无降水,12.0,2023-09-14 07:00:15
11,15.09.2023 08:00,27.9,755.4,758.8,1.1,83.0,从西方吹来的风,2.0,6.0,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.3,,2500或更高，或无云。,7.0,24.7,无降水,12.0,2023-09-14 07:00:15
12,15.09.2023 11:00,32.0,755.1,758.4,-0.3,58.0,从西北方吹来的风,1.0,6.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.3,32.0,2500或更高，或无云。,18.0,22.7,无降水,12.0,2023-09-14 07:00:15
13,15.09.2023 14:00,31.5,753.9,757.2,-1.2,67.0,从东南偏东方向吹来的风,4.0,9.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.3,33.5,2500或更高，或无云。,18.0,24.6,无降水,12.0,2023-09-14 07:00:15
14,15.09.2023 17:00,29.7,753.8,757.2,-0.1,79.0,从东方吹来的风,3.0,9.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.3,33.5,2500或更高，或无云。,20.0,25.7,无降水,12.0,2023-09-14 07:10:15
15,15.09.2023 20:00,28.3,755.1,758.5,1.3,83.0,从东南偏东方向吹来的风,2.0,9.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.3,33.5,2500或更高，或无云。,17.0,25.1,无降水,12.0,2023-09-14 07:10:15
16,15.09.2023 23:00,27.9,755.3,758.6,0.2,85.0,从南方吹来的风,1.0,,云量发展情况没有进行观测或无法观测。 ,,,26.3,33.5,2500或更高，或无云。,20.0,25.1,无降水,12.0,2023-09-14 07:10:15
17,16.09.2023 02:00,26.7,754.9,758.2,-0.4,89.0,从西北偏西方向吹来的风,1.0,8.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.3,33.5,2500或更高，或无云。,8.0,24.7,无降水,12.0,2023-09-14 07:10:15
18,16.09.2023 05:00,26.3,754.8,758.2,-0.1,91.0,从西方吹来的风,1.0,6.0,霾 ,,,26.3,33.5,2500或更高，或无云。,5.0,24.7,无降水,12.0,2023-09-14 07:10:15
19,16.09.2023 08:00,27.8,755.7,759.1,0.9,84.0,从西北偏西方向吹来的风,0.0,4.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.1,,2500或更高，或无云。,13.0,24.8,无降水,12.0,2023-09-14 07:20:15
20,16.09.2023 11:00,29.0,755.9,759.3,0.2,78.0,从西南偏西方向吹来的风,1.0,4.0,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.1,,2500或更高，或无云。,10.0,24.8,无降水,12.0,2023-09-14 07:20:15
21,16.09.2023 14:00,30.1,754.5,757.9,-1.4,73.0,从东南偏南方向吹来的风,1.0,4.0,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.1,31.4,2500或更高，或无云。,10.0,24.7,无降水,12.0,2023-09-14 07:20:15
22,16.09.2023 17:00,31.1,754.0,757.3,-0.5,70.0,从西北偏北方向吹来的风,1.0,4.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.1,31.2,2500或更高，或无云。,10.0,25.0,无降水,12.0,2023-09-14 07:20:15
23,16.09.2023 20:00,27.9,754.7,758.1,0.7,74.0,从西方吹来的风,1.0,5.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.1,31.2,2500或更高，或无云。,16.0,22.8,无降水,12.0,2023-09-14 07:20:15
24,16.09.2023 23:00,26.6,755.2,758.6,0.5,80.0,从西方吹来的风,2.0,5.0,云量发展情况没有进行观测或无法观测。 ,,,26.1,31.2,2500或更高，或无云。,19.0,22.9,无降水,12.0,2023-09-14 07:30:15
25,17.09.2023 02:00,25.7,754.8,758.2,-0.4,85.0,从西南偏西方向吹来的风,1.0,6.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,25.7,31.2,2500或更高，或无云。,12.0,23.0,无降水,12.0,2023-09-14 07:30:15
26,17.09.2023 05:00,24.8,754.6,757.9,-0.2,90.0,从西方吹来的风,2.0,6.0,霾 ,,,24.8,31.2,2500或更高，或无云。,6.0,23.0,无降水,12.0,2023-09-14 07:30:15
27,17.09.2023 08:00,26.9,755.8,759.1,1.2,80.0,从西南偏西方向吹来的风,1.0,6.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.5,31.2,2500或更高，或无云。,18.0,23.2,无降水,12.0,2023-09-14 07:30:15
28,17.09.2023 11:00,32.3,755.5,758.8,-0.3,60.0,从南方吹来的风,1.0,6.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.5,32.4,2500或更高，或无云。,19.0,23.5,无降水,12.0,2023-09-14 07:30:15
29,17.09.2023 14:00,32.1,754.0,757.3,-1.5,66.0,从东南偏东方向吹来的风,4.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.5,33.4,2500或更高，或无云。,13.0,24.9,无降水,12.0,2023-09-14 07:40:15
30,17.09.2023 17:00,29.7,754.3,757.7,0.3,80.0,从东南方吹来的风,2.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.5,33.4,2500或更高，或无云。,11.0,25.9,无降水,12.0,2023-09-14 07:40:15
31,17.09.2023 20:00,28.7,755.3,758.7,1.0,86.0,从东方吹来的风,2.0,7.0,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.5,33.4,2500或更高，或无云。,7.0,26.1,无降水,12.0,2023-09-14 07:40:15
32,17.09.2023 23:00,27.8,755.9,759.2,0.6,74.0,从东北方吹来的风,1.0,7.0,云量发展情况没有进行观测或无法观测。 ,,,24.5,33.4,2500或更高，或无云。,19.0,22.7,无降水,12.0,2023-09-14 07:40:15
33,18.09.2023 02:00,27.4,755.5,758.8,-0.4,83.0,从北方吹来的风,1.0,7.0,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,24.5,33.4,2500或更高，或无云。,12.0,24.3,无降水,12.0,2023-09-14 07:40:15
34,18.09.2023 05:00,26.3,755.5,758.8,0.0,87.0,从西方吹来的风,1.0,6.0,云量发展情况没有进行观测或无法观测。 ,,,24.5,33.4,2500或更高，或无云。,11.0,24.0,无降水,12.0,2023-09-14 07:50:15
35,18.09.2023 08:00,28.0,756.7,760.1,1.2,86.0,从西南方吹来的风,1.0,5.0,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,26.0,,2500或更高，或无云。,3.8,25.4,无降水,12.0,2023-09-14 07:50:15
