,id,device_id,active_power,direct_power,charge_capacity,date_time,T,Po,U,DD,Ff,WW,VV,Td,RRR
0,19038,6,31.25,31.67,20.3,2023-09-14 08:00:00,27.5,753.7,83.0,从西方吹来的风,0.0,霾 ,4.9,24.4,无降水
1,19039,7,35.22,35.67,19.8,2023-09-14 08:00:00,27.5,753.7,83.0,从西方吹来的风,0.0,霾 ,4.9,24.4,无降水
2,19040,8,39.62,40.14,20.7,2023-09-14 08:00:00,27.5,753.7,83.0,从西方吹来的风,0.0,霾 ,4.9,24.4,无降水
3,19041,9,50.39,51.03,27.2,2023-09-14 08:00:00,27.5,753.7,83.0,从西方吹来的风,0.0,霾 ,4.9,24.4,无降水
4,19042,10,25.24,25.64,17.4,2023-09-14 08:00:00,27.5,753.7,83.0,从西方吹来的风,0.0,霾 ,4.9,24.4,无降水
5,19128,6,65.24,66.29,195.2,2023-09-14 11:00:00,31.2,754.1,60.0,从东南方吹来的风,2.0, ,18.0,22.5,无降水
6,19129,7,72.97,74.12,196.3,2023-09-14 11:00:00,31.2,754.1,60.0,从东南方吹来的风,2.0, ,18.0,22.5,无降水
7,19130,8,65.92,66.98,199.0,2023-09-14 11:00:00,31.2,754.1,60.0,从东南方吹来的风,2.0, ,18.0,22.5,无降水
8,19131,9,72.45,73.67,232.2,2023-09-14 11:00:00,31.2,754.1,60.0,从东南方吹来的风,2.0, ,18.0,22.5,无降水
9,19132,10,60.01,60.98,182.0,2023-09-14 11:00:00,31.2,754.1,60.0,从东南方吹来的风,2.0, ,18.0,22.5,无降水
10,19218,6,77.74,79.08,444.6,2023-09-14 14:00:00,31.2,753.3,63.0,从东南方吹来的风,3.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.3,无降水
11,19219,7,79.34,80.84,447.2,2023-09-14 14:00:00,31.2,753.3,63.0,从东南方吹来的风,3.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.3,无降水
12,19220,8,77.25,78.58,450.9,2023-09-14 14:00:00,31.2,753.3,63.0,从东南方吹来的风,3.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.3,无降水
13,19221,9,81.16,82.51,492.9,2023-09-14 14:00:00,31.2,753.3,63.0,从东南方吹来的风,3.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.3,无降水
14,19222,10,78.86,80.19,419.1,2023-09-14 14:00:00,31.2,753.3,63.0,从东南方吹来的风,3.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.3,无降水
15,19308,6,11.43,11.73,565.7,2023-09-14 17:00:00,28.6,753.7,75.0,从东方吹来的风,5.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.7,无降水
16,19309,7,8.81,9.11,571.1,2023-09-14 17:00:00,28.6,753.7,75.0,从东方吹来的风,5.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.7,无降水
17,19310,8,7.89,8.11,565.2,2023-09-14 17:00:00,28.6,753.7,75.0,从东方吹来的风,5.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.7,无降水
18,19311,9,10.24,10.67,614.2,2023-09-14 17:00:00,28.6,753.7,75.0,从东方吹来的风,5.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.7,无降水
19,19312,10,11.47,11.85,549.7,2023-09-14 17:00:00,28.6,753.7,75.0,从东方吹来的风,5.0,云量发展情况没有进行观测或无法观测。 ,19.0,23.7,无降水
20,19398,6,0.0,0.0,568.1,2023-09-14 20:00:00,28.0,755.0,79.0,从东方吹来的风,2.0,云量发展情况没有进行观测或无法观测。 ,19.0,24.0,无降水
