,id,device_id,gather_time,active_power,direct_power,charge_capacity,date_time,difference
0,19038,6,2023-09-14 08:00:15,31.25,31.67,20.3,2023-09-14 08:00:00,
1,19039,7,2023-09-14 08:00:15,35.22,35.67,19.8,2023-09-14 08:00:00,
2,19040,8,2023-09-14 08:00:15,39.62,40.14,20.7,2023-09-14 08:00:00,
3,19041,9,2023-09-14 08:00:15,50.39,51.03,27.2,2023-09-14 08:00:00,
4,19042,10,2023-09-14 08:00:15,25.24,25.64,17.4,2023-09-14 08:00:00,
5,19128,6,2023-09-14 11:00:15,65.24,66.29,195.2,2023-09-14 11:00:00,0 days 03:00:00
6,19129,7,2023-09-14 11:00:15,72.97,74.12,196.3,2023-09-14 11:00:00,0 days 03:00:00
7,19130,8,2023-09-14 11:00:15,65.92,66.98,199.0,2023-09-14 11:00:00,0 days 03:00:00
8,19131,9,2023-09-14 11:00:15,72.45,73.67,232.2,2023-09-14 11:00:00,0 days 03:00:00
9,19132,10,2023-09-14 11:00:15,60.01,60.98,182.0,2023-09-14 11:00:00,0 days 03:00:00
10,19218,6,2023-09-14 14:00:15,77.74,79.08,444.6,2023-09-14 14:00:00,0 days 03:00:00
11,19219,7,2023-09-14 14:00:15,79.34,80.84,447.2,2023-09-14 14:00:00,0 days 03:00:00
12,19220,8,2023-09-14 14:00:15,77.25,78.58,450.9,2023-09-14 14:00:00,0 days 03:00:00
13,19221,9,2023-09-14 14:00:15,81.16,82.51,492.9,2023-09-14 14:00:00,0 days 03:00:00
14,19222,10,2023-09-14 14:00:15,78.86,80.19,419.1,2023-09-14 14:00:00,0 days 03:00:00
15,19308,6,2023-09-14 17:00:15,11.43,11.73,565.7,2023-09-14 17:00:00,0 days 03:00:00
16,19309,7,2023-09-14 17:00:15,8.81,9.11,571.1,2023-09-14 17:00:00,0 days 03:00:00
17,19310,8,2023-09-14 17:00:15,7.89,8.11,565.2,2023-09-14 17:00:00,0 days 03:00:00
18,19311,9,2023-09-14 17:00:15,10.24,10.67,614.2,2023-09-14 17:00:00,0 days 03:00:00
19,19312,10,2023-09-14 17:00:15,11.47,11.85,549.7,2023-09-14 17:00:00,0 days 03:00:00
20,19398,6,2023-09-14 20:00:15,0.0,0.0,568.1,2023-09-14 20:00:00,0 days 03:00:00
21,19399,7,2023-09-14 20:00:15,0.0,0.0,573.3,2023-09-14 20:00:00,0 days 03:00:00
22,19400,8,2023-09-14 20:00:15,0.0,0.0,567.3,2023-09-14 20:00:00,0 days 03:00:00
23,19401,9,2023-09-14 20:00:15,0.0,0.0,616.7,2023-09-14 20:00:00,0 days 03:00:00
24,19402,10,2023-09-14 20:00:15,0.0,0.0,552.1,2023-09-14 20:00:00,0 days 03:00:00
25,19488,6,2023-09-14 23:00:15,0.0,0.0,568.1,2023-09-14 23:00:00,0 days 03:00:00
26,19489,7,2023-09-14 23:00:15,0.0,0.0,573.3,2023-09-14 23:00:00,0 days 03:00:00
27,19490,8,2023-09-14 23:00:15,0.0,0.0,567.3,2023-09-14 23:00:00,0 days 03:00:00
28,19491,9,2023-09-14 23:00:15,0.0,0.0,616.7,2023-09-14 23:00:00,0 days 03:00:00
29,19492,10,2023-09-14 23:00:15,0.0,0.0,552.1,2023-09-14 23:00:00,0 days 03:00:00
30,19578,6,2023-09-15 02:00:15,0.0,0.0,0.0,2023-09-15 02:00:00,0 days 03:00:00
31,19579,7,2023-09-15 02:00:15,0.0,0.0,0.0,2023-09-15 02:00:00,0 days 03:00:00
32,19580,8,2023-09-15 02:00:15,0.0,0.0,0.0,2023-09-15 02:00:00,0 days 03:00:00
33,19581,9,2023-09-15 02:00:15,0.0,0.0,0.0,2023-09-15 02:00:00,0 days 03:00:00
34,19582,10,2023-09-15 02:00:15,0.0,0.0,0.0,2023-09-15 02:00:00,0 days 03:00:00
35,19668,6,2023-09-15 05:00:15,0.0,0.0,0.0,2023-09-15 05:00:00,0 days 03:00:00
36,19669,7,2023-09-15 05:00:15,0.0,0.0,0.0,2023-09-15 05:00:00,0 days 03:00:00
37,19670,8,2023-09-15 05:00:15,0.0,0.0,0.0,2023-09-15 05:00:00,0 days 03:00:00
38,19671,9,2023-09-15 05:00:15,0.0,0.0,0.0,2023-09-15 05:00:00,0 days 03:00:00
39,19672,10,2023-09-15 05:00:15,0.0,0.0,0.0,2023-09-15 05:00:00,0 days 03:00:00
40,19758,6,2023-09-15 08:00:15,16.76,17.11,20.1,2023-09-15 08:00:00,0 days 03:00:00
