,id,device_id,active_power,direct_power,charge_capacity,date_time,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA
0,19038,6,31.25,31.67,20.3,2023-09-14 08:00:00,27.5,83.0,0.0,0,-1,0,996.39,441.366227270996
1,19039,7,35.22,35.67,19.8,2023-09-14 08:00:00,27.5,83.0,0.0,0,-1,0,996.39,441.366227270996
2,19040,8,39.62,40.14,20.7,2023-09-14 08:00:00,27.5,83.0,0.0,0,-1,0,996.39,441.366227270996
3,19041,9,50.39,51.03,27.2,2023-09-14 08:00:00,27.5,83.0,0.0,0,-1,0,996.39,441.366227270996
4,19042,10,25.24,25.64,17.4,2023-09-14 08:00:00,27.5,83.0,0.0,0,-1,0,996.39,441.366227270996
5,19128,6,65.24,66.29,195.2,2023-09-14 11:00:00,31.2,60.0,2.0,0,1,-1,996.92,942.2534001647168
6,19129,7,72.97,74.12,196.3,2023-09-14 11:00:00,31.2,60.0,2.0,0,1,-1,996.92,942.2534001647168
7,19130,8,65.92,66.98,199.0,2023-09-14 11:00:00,31.2,60.0,2.0,0,1,-1,996.92,942.2534001647168
8,19131,9,72.45,73.67,232.2,2023-09-14 11:00:00,31.2,60.0,2.0,0,1,-1,996.92,942.2534001647168
9,19132,10,60.01,60.98,182.0,2023-09-14 11:00:00,31.2,60.0,2.0,0,1,-1,996.92,942.2534001647168
10,19218,6,77.74,79.08,444.6,2023-09-14 14:00:00,31.2,63.0,3.0,0,1,-1,995.86,801.4503840677947
11,19219,7,79.34,80.84,447.2,2023-09-14 14:00:00,31.2,63.0,3.0,0,1,-1,995.86,801.4503840677947
12,19220,8,77.25,78.58,450.9,2023-09-14 14:00:00,31.2,63.0,3.0,0,1,-1,995.86,801.4503840677947
13,19221,9,81.16,82.51,492.9,2023-09-14 14:00:00,31.2,63.0,3.0,0,1,-1,995.86,801.4503840677947
14,19222,10,78.86,80.19,419.1,2023-09-14 14:00:00,31.2,63.0,3.0,0,1,-1,995.86,801.4503840677947
15,19308,6,11.43,11.73,565.7,2023-09-14 17:00:00,28.6,75.0,5.0,0,1,0,996.39,136.0347580751182
16,19309,7,8.81,9.11,571.1,2023-09-14 17:00:00,28.6,75.0,5.0,0,1,0,996.39,136.0347580751182
17,19310,8,7.89,8.11,565.2,2023-09-14 17:00:00,28.6,75.0,5.0,0,1,0,996.39,136.0347580751182
18,19311,9,10.24,10.67,614.2,2023-09-14 17:00:00,28.6,75.0,5.0,0,1,0,996.39,136.0347580751182
19,19312,10,11.47,11.85,549.7,2023-09-14 17:00:00,28.6,75.0,5.0,0,1,0,996.39,136.0347580751182
40,19758,6,16.76,17.11,20.1,2023-09-15 08:00:00,27.9,83.0,2.0,0,-1,0,998.64,442.11895723296425
