,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
5,19128,6,65.24,66.29,195.2,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,174.9,31.25,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
6,19129,7,72.97,74.12,196.3,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,176.5,35.22,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
7,19130,8,65.92,66.98,199.0,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,178.3,39.62,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
8,19131,9,72.45,73.67,232.2,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,205.0,50.39,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
9,19132,10,60.01,60.98,182.0,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,164.6,25.24,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
10,19218,6,77.74,79.08,444.6,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,249.4,65.24,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
11,19219,7,79.34,80.84,447.2,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,250.9,72.97,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
12,19220,8,77.25,78.58,450.9,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,251.9,65.92,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
13,19221,9,81.16,82.51,492.9,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,260.7,72.45,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
14,19222,10,78.86,80.19,419.1,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,237.1,60.01,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
15,19308,6,11.43,11.73,565.7,28.6,75.0,5.0,0.0,1,0,996.39,136.03,121.1,77.74,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
16,19309,7,8.81,9.11,571.1,28.6,75.0,5.0,0.0,1,0,996.39,136.03,123.9,79.34,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
17,19310,8,7.89,8.11,565.2,28.6,75.0,5.0,0.0,1,0,996.39,136.03,114.3,77.25,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
18,19311,9,10.24,10.67,614.2,28.6,75.0,5.0,0.0,1,0,996.39,136.03,121.3,81.16,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
19,19312,10,11.47,11.85,549.7,28.6,75.0,5.0,0.0,1,0,996.39,136.03,130.6,78.86,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
20,19398,6,0.0,0.0,568.1,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.4,11.43,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
21,19399,7,0.0,0.0,573.3,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.2,8.81,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
22,19400,8,0.0,0.0,567.3,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.1,7.89,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
23,19401,9,0.0,0.0,616.7,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.5,10.24,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
24,19402,10,0.0,0.0,552.1,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.4,11.47,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
30,19758,6,16.76,17.11,20.1,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,20.1,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
31,19759,7,46.7,47.42,19.1,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,19.1,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
32,19760,8,45.2,45.87,20.0,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,20.0,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
33,19761,9,62.12,62.96,25.3,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,25.3,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
34,19762,10,15.29,15.63,17.4,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,17.4,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
35,19848,6,52.47,53.22,112.9,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,92.8,16.76,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
36,19849,7,52.39,53.15,114.6,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,95.5,46.7,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
37,19850,8,70.19,71.37,116.9,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,96.9,45.2,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
38,19851,9,78.36,80.12,134.2,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,108.9,62.12,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
39,19852,10,51.94,52.71,107.1,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,89.7,15.29,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
40,19938,6,48.47,49.18,348.8,31.5,67.0,4.0,0.0,1,-1,996.66,800.61,235.9,52.47,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0,14
