,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
9,19132,10,60.01,60.98,182.0,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,164.6,25.24,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
14,19222,10,78.86,80.19,419.1,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,237.1,60.01,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
19,19312,10,11.47,11.85,549.7,28.6,75.0,5.0,0.0,1,0,996.39,136.03,130.6,78.86,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
24,19402,10,0.0,0.0,552.1,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.4,11.47,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
34,19762,10,15.29,15.63,17.4,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,17.4,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
39,19852,10,51.94,52.71,107.1,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,89.7,15.29,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
44,19942,10,48.47,49.18,331.3,31.5,67.0,4.0,0.0,1,-1,996.66,800.61,224.2,51.94,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0,14
49,19987,10,15.35,15.77,432.9,29.7,79.0,3.0,0.0,1,0,996.52,133.11,101.6,48.47,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
54,21212,10,0.0,0.0,439.1,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,6.2,15.35,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
64,21572,10,14.0,14.3,17.0,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,17.0,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
69,21662,10,44.63,45.32,108.1,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,91.1,14.0,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
74,21752,10,29.5,29.93,222.5,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,114.4,44.63,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
79,21842,10,21.95,22.28,276.1,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,53.6,29.5,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
84,21932,10,0.0,0.0,284.7,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,8.6,21.95,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
94,22292,10,30.07,30.47,23.8,26.9,80.0,1.0,0.0,-1,-1,999.17,444.08,23.8,0.0,24.8,90.0,2.0,0.0,-1.0,0.0,997.58,0.0,8
99,22382,10,78.99,80.35,194.3,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,170.5,30.07,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
104,22472,10,68.68,69.82,394.1,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,199.8,78.99,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
109,22562,10,4.73,4.95,512.9,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,118.8,68.68,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
114,22652,10,0.0,0.0,516.7,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.8,4.73,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
124,23012,10,31.64,32.1,24.9,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,24.9,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
129,23102,10,74.43,75.69,158.2,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,133.3,31.64,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
134,23192,10,67.59,68.71,384.7,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,226.5,74.43,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
139,23277,10,14.79,15.09,514.0,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,129.3,67.59,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
144,23367,10,0.0,0.0,520.3,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,6.3,14.79,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
154,23727,10,31.14,31.59,24.5,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,24.5,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
159,23817,10,76.86,78.19,189.4,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,164.9,31.14,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
164,23907,10,72.48,73.72,424.7,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,235.3,76.86,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
169,23997,10,19.34,19.62,561.5,30.0,74.0,3.0,0.0,1,-1,998.77,121.72,136.8,72.48,32.3,61.0,2.0,0.0,1.0,-1.0,999.04,798.01,17
174,24087,10,0.0,0.0,567.6,28.5,80.0,1.0,0.0,1,-1,999.96,0.0,6.1,19.34,30.0,74.0,3.0,0.0,1.0,-1.0,998.77,121.72,20
184,24447,10,31.1,31.55,25.0,28.2,80.0,1.0,0.0,-1,0,999.3,446.88,25.0,0.0,26.2,91.0,2.0,0.0,-1.0,0.0,998.77,0.0,8
189,24537,10,58.77,59.68,183.8,31.5,61.0,1.0,0.0,-1,-1,998.24,947.66,158.8,31.1,28.2,80.0,1.0,0.0,-1.0,0.0,999.3,446.88,11
194,24627,10,63.67,64.69,380.5,32.0,64.0,3.0,0.0,1,-1,996.13,797.26,196.7,58.77,31.5,61.0,1.0,0.0,-1.0,-1.0,998.24,947.66,14
199,24717,10,9.46,9.79,494.7,29.7,78.0,3.0,0.0,1,0,996.39,118.81,114.2,63.67,32.0,64.0,3.0,0.0,1.0,-1.0,996.13,797.26,17
204,24807,10,0.0,0.0,498.9,28.5,83.0,2.0,0.0,1,1,997.98,0.0,4.2,9.46,29.7,78.0,3.0,0.0,1.0,0.0,996.39,118.81,20
214,25167,10,35.5,36.03,24.6,29.4,78.0,1.0,0.0,1,1,999.56,447.78,24.6,0.0,26.4,93.0,1.0,0.0,-1.0,0.0,997.98,0.0,8
219,25257,10,76.09,77.4,201.3,32.6,63.0,2.0,0.0,1,0,999.43,948.45,176.7,35.5,29.4,78.0,1.0,0.0,1.0,1.0,999.56,447.78,11
224,25347,10,67.3,68.45,427.3,32.6,63.0,4.0,0.0,1,-1,997.58,796.47,226.0,76.09,32.6,63.0,2.0,0.0,1.0,0.0,999.43,948.45,14
229,25437,10,5.13,5.43,542.8,30.3,74.0,4.0,0.0,1,0,998.24,115.87,115.5,67.3,32.6,63.0,4.0,0.0,1.0,-1.0,997.58,796.47,17
234,25527,10,0.0,0.0,544.9,28.5,83.0,4.0,0.0,1,1,999.56,0.0,2.1,5.13,30.3,74.0,4.0,0.0,1.0,0.0,998.24,115.87,20
244,25887,10,37.28,37.86,25.0,25.4,95.0,0.0,0.7,-1,-1,1000.75,448.65,25.0,0.0,26.5,85.0,1.0,0.0,-1.0,1.0,999.56,0.0,8
249,25977,10,40.57,41.15,124.1,25.6,96.0,1.0,1.0,-1,0,1001.15,949.21,99.1,37.28,25.4,95.0,0.0,0.7,-1.0,-1.0,1000.75,448.65,11
254,26067,10,31.18,31.63,233.9,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63,109.8,40.57,25.6,96.0,1.0,1.0,-1.0,0.0,1001.15,949.21,14
259,26157,10,8.75,9.09,295.4,27.9,79.0,5.0,0.0,1,0,999.56,112.91,61.5,31.18,28.8,79.0,1.0,0.5,-1.0,-1.0,999.04,795.63,17
264,26247,10,0.0,0.0,297.5,27.0,80.0,4.0,0.0,1,1,1001.28,0.0,2.1,8.75,27.9,79.0,5.0,0.0,1.0,0.0,999.56,112.91,20
274,26607,10,39.63,40.16,15.2,25.1,93.0,1.0,0.2,-1,1,1001.94,449.5,15.2,0.0,25.0,91.0,1.0,0.1,-1.0,0.0,1000.75,0.0,8
279,26697,10,13.89,14.15,137.3,28.0,79.0,2.0,0.3,1,1,1001.55,949.91,122.1,39.63,25.1,93.0,1.0,0.2,-1.0,1.0,1001.94,449.5,11
284,26787,10,15.66,15.95,207.0,27.7,79.0,4.0,0.2,1,1,999.96,794.76,69.7,13.89,28.0,79.0,2.0,0.3,1.0,1.0,1001.55,949.91,14
289,26877,10,3.1,3.37,227.0,24.7,95.0,3.0,2.0,1,1,1000.36,109.94,20.0,15.66,27.7,79.0,4.0,0.2,1.0,1.0,999.96,794.76,17
294,26967,10,0.0,0.0,228.3,24.3,95.0,1.0,2.0,-1,1,1001.68,0.0,1.3,3.1,24.7,95.0,3.0,2.0,1.0,1.0,1000.36,109.94,20
304,27327,10,29.79,30.22,24.8,27.8,80.0,1.0,0.0,1,0,1001.28,450.32,24.8,0.0,24.2,94.0,1.0,0.0,-1.0,0.0,1000.23,0.0,8
309,27417,10,61.28,62.26,182.4,31.4,65.0,1.0,0.0,0,-1,1000.62,950.58,157.6,29.79,27.8,80.0,1.0,0.0,1.0,0.0,1001.28,450.32,11
314,27507,10,61.23,62.15,369.5,32.1,61.0,2.0,0.0,1,-1,998.37,793.86,187.1,61.28,31.4,65.0,1.0,0.0,0.0,-1.0,1000.62,950.58,14
319,27597,10,10.94,11.22,487.4,29.5,74.0,2.0,0.0,1,0,998.64,106.95,117.9,61.23,32.1,61.0,2.0,0.0,1.0,-1.0,998.37,793.86,17
324,27687,10,0.0,0.0,491.0,27.7,86.0,2.0,0.0,1,0,999.96,0.0,3.6,10.94,29.5,74.0,2.0,0.0,1.0,0.0,998.64,106.95,20
334,28047,10,27.46,27.86,20.5,28.0,83.0,1.0,0.0,-1,0,1000.62,451.12,20.5,0.0,26.0,92.0,1.0,0.0,-1.0,1.0,999.17,0.0,8
339,28137,10,67.65,68.95,160.0,32.1,64.0,3.0,0.0,1,0,999.96,951.19,139.5,27.46,28.0,83.0,1.0,0.0,-1.0,0.0,1000.62,451.12,11
344,28227,10,61.38,62.31,360.9,31.4,69.0,4.0,0.0,1,-1,998.24,792.91,200.9,67.65,32.1,64.0,3.0,0.0,1.0,0.0,999.96,951.19,14
349,28317,10,8.51,8.79,473.1,29.6,76.0,3.0,0.0,1,0,998.9,103.94,112.2,61.38,31.4,69.0,4.0,0.0,1.0,-1.0,998.24,792.91,17
354,28407,10,0.0,0.0,475.9,28.3,81.0,4.0,0.0,1,0,1000.36,0.0,2.8,8.51,29.6,76.0,3.0,0.0,1.0,0.0,998.9,103.94,20
364,28767,10,26.3,26.66,23.1,28.5,73.0,0.0,0.0,-1,0,1001.55,451.89,23.1,0.0,26.8,83.0,1.0,0.0,-1.0,1.0,999.96,0.0,8
369,28857,10,63.65,64.7,156.3,31.9,61.0,0.0,0.0,0,0,1000.75,951.76,133.2,26.3,28.5,73.0,0.0,0.0,-1.0,0.0,1001.55,451.89,11
374,28947,10,58.86,59.72,352.8,30.6,69.0,1.5,0.0,0,0,1000.09,791.94,196.5,63.65,31.9,61.0,0.0,0.0,0.0,0.0,1000.75,951.76,14
379,29037,10,7.76,8.01,450.8,29.2,77.0,3.0,0.0,1,0,999.43,100.93,98.0,58.86,30.6,69.0,1.5,0.0,0.0,0.0,1000.09,791.94,17
384,29127,10,0.0,0.0,452.7,28.2,82.0,4.0,0.0,1,1,1000.89,0.0,1.9,7.76,29.2,77.0,3.0,0.0,1.0,0.0,999.43,100.93,20
394,29487,10,26.85,27.24,20.9,28.4,72.0,2.0,0.0,0,1,1001.15,452.64,20.9,0.0,25.5,83.0,0.0,0.0,0.0,1.0,1000.36,0.0,8
399,29577,10,15.6,16.0,161.4,30.5,63.0,2.0,0.0,-1,1,1000.36,952.29,140.5,26.85,28.4,72.0,2.0,0.0,0.0,1.0,1001.15,452.64,11
404,29667,10,59.52,60.43,352.7,30.6,66.0,3.0,0.0,1,-1,998.64,790.93,191.3,15.6,30.5,63.0,2.0,0.0,-1.0,1.0,1000.36,952.29,14
409,29757,10,9.44,9.65,459.4,29.5,73.0,3.0,0.0,1,0,998.77,97.9,106.7,59.52,30.6,66.0,3.0,0.0,1.0,-1.0,998.64,790.93,17
414,29847,10,0.0,0.0,462.7,28.1,80.0,4.0,0.0,1,0,1000.62,0.0,3.3,9.44,29.5,73.0,3.0,0.0,1.0,0.0,998.77,97.9,20
424,30207,10,28.6,29.02,17.6,27.8,77.0,1.0,0.0,-1,1,1002.21,453.35,17.6,0.0,25.3,88.0,1.0,0.0,-1.0,1.0,1000.49,0.0,8
429,30297,10,70.3,71.56,151.5,31.8,60.0,2.0,0.0,-1,1,1001.55,952.76,133.9,28.6,27.8,77.0,1.0,0.0,-1.0,1.0,1002.21,453.35,11
