,id,device_id,active_power,direct_power,charge_capacity,date_time,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
0,19128,6,65.24,66.29,195.2,2023-09-14 11:00:00,31.2,60.0,2.0,0.0,1,-1,996.92,942.25,174.9,31.25,27.5,83.0,0.0,0.0,-1.0,0.0,996.39,441.37,11
5,19218,6,77.74,79.08,444.6,2023-09-14 14:00:00,31.2,63.0,3.0,0.0,1,-1,995.86,801.45,249.4,65.24,31.2,60.0,2.0,0.0,1.0,-1.0,996.92,942.25,14
10,19308,6,11.43,11.73,565.7,2023-09-14 17:00:00,28.6,75.0,5.0,0.0,1,0,996.39,136.03,121.1,77.74,31.2,63.0,3.0,0.0,1.0,-1.0,995.86,801.45,17
15,19398,6,0.0,0.0,568.1,2023-09-14 20:00:00,28.0,79.0,2.0,0.0,1,0,998.11,0.0,2.4,11.43,28.6,75.0,5.0,0.0,1.0,0.0,996.39,136.03,20
20,19758,6,16.76,17.11,20.1,2023-09-15 08:00:00,27.9,83.0,2.0,0.0,-1,0,998.64,442.12,20.1,0.0,26.7,86.0,1.0,0.0,1.0,0.0,997.18,0.0,8
25,19848,6,52.47,53.22,112.9,2023-09-15 11:00:00,32.0,58.0,1.0,0.0,-1,1,998.24,943.0,92.8,16.76,27.9,83.0,2.0,0.0,-1.0,0.0,998.64,442.12,11
30,19938,6,48.47,49.18,348.8,2023-09-15 14:00:00,31.5,67.0,4.0,0.0,1,-1,996.66,800.61,235.9,52.47,32.0,58.0,1.0,0.0,-1.0,1.0,998.24,943.0,14
35,19983,6,7.9,8.22,440.4,2023-09-15 17:00:00,29.7,79.0,3.0,0.0,1,0,996.52,133.11,91.6,48.47,31.5,67.0,4.0,0.0,1.0,-1.0,996.66,800.61,17
40,21208,6,0.0,0.0,443.8,2023-09-15 20:00:00,28.3,83.0,2.0,0.0,1,-1,998.24,0.0,3.4,7.9,29.7,79.0,3.0,0.0,1.0,0.0,996.52,133.11,20
45,21568,6,14.2,14.56,17.6,2023-09-16 08:00:00,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,17.6,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
50,21658,6,48.18,48.93,110.4,2023-09-16 11:00:00,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,92.8,14.2,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
55,21748,6,29.67,30.12,226.6,2023-09-16 14:00:00,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,116.2,48.18,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
