,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p),hour,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,POA_b,Po(p)_b,device_id,cc_diff
249,27.8,80.0,1.0,0.0,1,0,450.32,1001.28,8,24.2,94.0,1.0,0.0,-1.0,0.0,0.0,1000.23,10,24.8
2075,6.5,72.0,1.0,0.0,1,1,0.0,1014.77,20,8.5,60.0,3.0,0.0,1.0,0.0,156.77,1012.65,6,2.2
30,31.5,67.0,4.0,0.0,1,-1,800.61,996.66,14,32.0,58.0,1.0,0.0,-1.0,1.0,943.0,998.24,6,235.9
2014,5.8,94.0,2.0,20.0,-1,1,938.74,1012.12,11,5.2,96.0,2.0,17.0,-1.0,1.0,340.05,1012.52,10,28.3
2297,19.7,67.0,3.0,0.0,1,1,174.76,1000.09,17,20.9,64.0,3.0,0.0,1.0,1.0,880.12,1000.23,8,92.5
591,14.1,77.0,3.0,2.0,1,-1,727.92,1008.82,14,13.2,86.0,1.0,2.0,1.0,-1.0,881.82,1010.27,7,114.3
951,9.5,74.0,0.0,0.0,0,1,0.0,1015.56,20,12.4,62.0,2.0,0.0,1.0,0.0,10.43,1014.24,7,0.3
2008,5.2,96.0,2.0,17.0,-1,1,340.05,1012.52,8,5.0,96.0,1.0,14.0,1.0,1.0,0.0,1010.8,9,1.8
438,24.3,79.0,2.0,12.0,-1,1,85.75,1000.36,17,23.6,86.0,2.0,14.0,-1.0,1.0,786.61,1000.75,9,56.1
1006,10.9,94.0,1.0,0.0,1,1,324.86,1014.24,8,12.3,86.0,1.0,0.0,-1.0,-1.0,0.0,1013.18,7,6.0
1111,13.4,56.0,0.0,0.0,1,0,885.16,1010.27,11,6.3,89.0,2.0,0.0,-1.0,0.0,321.72,1011.07,7,134.6
44,28.3,83.0,2.0,0.0,1,-1,0.0,998.24,20,29.7,79.0,3.0,0.0,1.0,0.0,133.11,996.52,10,6.2
1237,13.2,63.0,1.0,0.0,1,0,891.39,1015.43,11,7.8,93.0,1.0,0.0,-1.0,-1.0,320.11,1015.43,8,95.9
2219,19.6,63.0,2.0,0.0,1,-1,878.46,1003.93,14,21.7,55.0,1.0,0.0,1.0,-1.0,953.38,1005.38,10,186.5
1252,9.3,72.0,2.0,0.0,1,0,0.0,1015.43,20,10.7,71.0,3.0,0.0,1.0,0.0,40.44,1014.24,8,0.2
548,20.8,70.0,2.0,0.0,-1,1,457.8,1004.59,8,20.6,68.0,3.0,0.0,0.0,1.0,0.0,1002.87,9,3.9
616,16.4,60.0,2.0,0.0,-1,-1,728.92,1010.14,14,13.5,71.0,1.0,0.0,-1.0,-1.0,880.98,1013.18,7,99.8
2146,15.1,48.0,2.0,0.0,1,0,164.55,1015.03,17,17.8,36.0,3.0,0.0,1.0,-1.0,873.61,1015.56,7,125.4
1399,14.4,50.0,2.0,0.0,1,0,64.48,1010.54,17,18.8,34.0,3.0,0.0,1.0,0.0,805.22,1009.08,10,76.5
0,31.2,60.0,2.0,0.0,1,-1,942.25,996.92,11,27.5,83.0,0.0,0.0,-1.0,0.0,441.37,996.39,6,174.9
36,29.7,79.0,3.0,0.0,1,0,133.11,996.52,17,31.5,67.0,4.0,0.0,1.0,-1.0,800.61,996.66,7,93.1
257,32.1,61.0,2.0,0.0,1,-1,793.86,998.37,14,31.4,65.0,1.0,0.0,0.0,-1.0,950.58,1000.62,8,202.5
1853,14.8,97.0,1.0,0.0,1,0,0.0,1007.1,20,15.8,86.0,3.0,0.0,1.0,1.0,129.9,1005.51,9,0.3
2324,18.1,84.0,3.0,0.0,1,1,175.86,999.7,17,22.8,67.0,3.0,0.0,1.0,0.0,880.61,1000.09,10,82.2
1327,9.3,71.0,1.0,0.0,0,-1,0.0,1011.33,20,11.4,63.0,3.0,0.0,1.0,0.0,51.88,1009.88,8,0.4
830,-0.3,38.0,2.0,0.0,-1,1,334.04,1027.33,8,-1.3,48.0,2.0,0.0,-1.0,1.0,0.0,1025.34,6,5.3
1086,11.6,51.0,2.0,0.0,1,1,884.15,1015.43,11,7.9,65.0,2.0,0.0,1.0,1.0,322.36,1015.82,7,92.8
352,31.8,60.0,2.0,0.0,-1,1,952.76,1001.55,11,27.8,77.0,1.0,0.0,-1.0,1.0,453.35,1002.21,8,150.1
1016,16.7,64.0,2.0,0.0,1,-1,760.04,1010.67,14,15.0,70.0,1.0,0.0,1.0,-1.0,881.6,1013.84,7,175.9
1994,5.6,82.0,2.0,0.0,1,0,861.67,1012.26,14,5.7,82.0,3.0,0.0,1.0,0.0,936.89,1014.9,10,26.4
1059,11.4,94.0,1.0,0.0,-1,0,323.09,1009.48,8,11.2,93.0,1.0,0.0,-1.0,-1.0,0.0,1005.91,10,4.7
342,28.1,80.0,4.0,0.0,1,0,0.0,1000.62,20,29.5,73.0,3.0,0.0,1.0,0.0,97.9,998.77,8,1.9
1579,12.3,63.0,3.0,1.0,0,1,0.0,1008.42,20,13.5,68.0,4.0,1.0,-1.0,1.0,91.78,1006.31,10,0.2
1151,11.0,44.0,3.0,0.0,-1,1,0.0,1012.78,20,13.5,34.0,3.0,0.0,-1.0,1.0,27.47,1011.59,7,0.2
2191,21.2,50.0,3.0,0.0,1,0,877.27,1005.25,14,20.0,54.0,1.0,0.0,-1.0,-1.0,952.02,1008.55,7,227.9
341,28.1,80.0,4.0,0.0,1,0,0.0,1000.62,20,29.5,73.0,3.0,0.0,1.0,0.0,97.9,998.77,7,2.3
569,19.6,84.0,3.0,0.5,1,1,0.0,1004.06,20,21.1,72.0,3.0,0.0,0.0,1.0,70.7,1002.74,10,0.6
