id;"device_id";"gather_time";"active_power";"direct_power";"charge_capacity"
104943;6;"2024-02-23 00:10:01";0.0;0.0;0.0
104944;7;"2024-02-23 00:10:01";0.0;0.0;0.0
104945;8;"2024-02-23 00:10:01";0.0;0.0;0.0
104946;9;"2024-02-23 00:10:01";0.0;0.0;0.0
104947;10;"2024-02-23 00:10:01";0.0;0.0;0.0
104948;6;"2024-02-23 01:10:00";0.0;0.0;0.0
104949;7;"2024-02-23 01:10:00";0.0;0.0;0.0
104950;8;"2024-02-23 01:10:00";0.0;0.0;0.0
104951;9;"2024-02-23 01:10:00";0.0;0.0;0.0
104952;10;"2024-02-23 01:10:01";0.0;0.0;0.0
104953;6;"2024-02-23 02:10:00";0.0;0.0;0.0
104954;7;"2024-02-23 02:10:00";0.0;0.0;0.0
104955;8;"2024-02-23 02:10:00";0.0;0.0;0.0
104956;9;"2024-02-23 02:10:00";0.0;0.0;0.0
104957;10;"2024-02-23 02:10:00";0.0;0.0;0.0
104958;6;"2024-02-23 03:10:00";0.0;0.0;0.0
104959;7;"2024-02-23 03:10:00";0.0;0.0;0.0
104960;8;"2024-02-23 03:10:00";0.0;0.0;0.0
104961;9;"2024-02-23 03:10:00";0.0;0.0;0.0
104962;10;"2024-02-23 03:10:00";0.0;0.0;0.0
104963;6;"2024-02-23 04:10:00";0.0;0.0;0.0
104964;7;"2024-02-23 04:10:00";0.0;0.0;0.0
104965;8;"2024-02-23 04:10:00";0.0;0.0;0.0
104966;9;"2024-02-23 04:10:00";0.0;0.0;0.0
104967;10;"2024-02-23 04:10:00";0.0;0.0;0.0
104968;6;"2024-02-23 05:10:00";0.0;0.0;0.0
104969;7;"2024-02-23 05:10:00";0.0;0.0;0.0
104970;8;"2024-02-23 05:10:00";0.0;0.0;0.0
104971;9;"2024-02-23 05:10:00";0.0;0.0;0.0
104972;10;"2024-02-23 05:10:00";0.0;0.0;0.0
104973;6;"2024-02-23 06:10:00";0.0;0.0;0.0
104974;7;"2024-02-23 06:10:00";0.0;0.0;0.0
104975;8;"2024-02-23 06:10:00";0.0;0.0;0.0
104976;9;"2024-02-23 06:10:00";0.0;0.0;0.0
104977;10;"2024-02-23 06:10:00";0.0;0.0;0.0
104978;6;"2024-02-23 07:10:00";0.03;0.4;0.0
104979;7;"2024-02-23 07:10:00";0.17;0.52;0.0
104980;8;"2024-02-23 07:10:00";0.15;0.57;0.0
104981;9;"2024-02-23 07:10:00";0.3;0.64;0.0
104982;10;"2024-02-23 07:10:00";0.0;0.34;0.0
104983;6;"2024-02-23 08:10:01";2.31;2.69;1.8
104984;7;"2024-02-23 08:10:01";2.38;2.79;1.9
104985;8;"2024-02-23 08:10:01";2.37;2.83;1.9
104986;9;"2024-02-23 08:10:01";2.44;2.84;2.2
104987;10;"2024-02-23 08:10:01";2.32;2.68;1.8
104988;6;"2024-02-23 09:10:00";7.02;7.31;6.8
104989;7;"2024-02-23 09:10:00";7.29;7.54;6.6
104990;8;"2024-02-23 09:10:00";7.12;7.4;6.6
104991;9;"2024-02-23 09:10:00";7.57;7.96;7.5
104992;10;"2024-02-23 09:10:00";7.34;7.58;6.7
104993;6;"2024-02-23 10:10:00";9.99;10.3;14.3
104994;7;"2024-02-23 10:10:00";8.01;8.36;13.9
104995;8;"2024-02-23 10:10:00";7.76;8.04;13.9
104996;9;"2024-02-23 10:10:00";10.34;10.73;15.3
104997;10;"2024-02-23 10:10:00";8.73;8.97;14.1
104998;6;"2024-02-23 11:10:01";52.09;52.76;50.8
104999;7;"2024-02-23 11:10:01";43.62;44.24;48.9
105000;8;"2024-02-23 11:10:01";52.07;52.79;50.8
105001;9;"2024-02-23 11:10:01";58.45;59.27;54.3
105002;10;"2024-02-23 11:10:01";43.72;44.29;49.1
105003;6;"2024-02-23 12:10:00";29.13;29.54;82.2
105004;7;"2024-02-23 12:10:00";30.65;31.1;83.1
105005;8;"2024-02-23 12:10:00";30.15;30.6;82.4
105006;9;"2024-02-23 12:10:00";31.75;32.2;90.0
105007;10;"2024-02-23 12:10:00";31.0;31.42;83.2
105008;6;"2024-02-23 13:10:01";38.64;39.19;114.1
105009;7;"2024-02-23 13:10:01";31.81;32.28;113.4
105010;8;"2024-02-23 13:10:01";39.77;40.38;114.6
105011;9;"2024-02-23 13:10:01";47.29;47.99;125.5
105012;10;"2024-02-23 13:10:01";33.93;34.39;114.1
105013;6;"2024-02-23 14:10:00";7.48;7.93;127.7
105014;7;"2024-02-23 14:10:00";5.82;6.04;128.9
105015;8;"2024-02-23 14:10:00";7.09;7.38;128.2
105016;9;"2024-02-23 14:10:00";7.92;8.29;141.1
105017;10;"2024-02-23 14:10:01";5.84;6.23;129.6
105018;6;"2024-02-23 15:10:01";3.72;4.22;132.0
105019;7;"2024-02-23 15:10:01";3.36;3.73;133.1
105020;8;"2024-02-23 15:10:01";3.56;3.98;132.5
105021;9;"2024-02-23 15:10:01";3.94;4.38;145.8
105022;10;"2024-02-23 15:10:01";3.34;3.68;133.8
105023;6;"2024-02-23 16:10:00";1.6;2.06;134.6
105024;7;"2024-02-23 16:10:00";1.81;1.98;135.6
105025;8;"2024-02-23 16:10:00";1.68;2.08;135.0
105026;9;"2024-02-23 16:10:00";1.74;2.1;148.5
105027;10;"2024-02-23 16:10:00";1.87;2.22;136.4
105028;6;"2024-02-23 17:10:01";0.39;0.66;135.7
105029;7;"2024-02-23 17:10:01";0.38;0.58;136.8
105030;8;"2024-02-23 17:10:01";0.37;0.66;136.1
105031;9;"2024-02-23 17:10:01";0.45;0.8;149.8
105032;10;"2024-02-23 17:10:01";0.29;0.75;137.5
105033;6;"2024-02-23 18:10:01";0.0;0.0;135.8
105034;7;"2024-02-23 18:10:01";0.0;0.0;136.8
105035;8;"2024-02-23 18:10:01";0.0;0.0;136.2
105036;9;"2024-02-23 18:10:01";0.0;0.0;149.9
105037;10;"2024-02-23 18:10:01";0.0;0.0;137.6
105038;6;"2024-02-23 19:10:00";0.0;0.0;135.8
105039;7;"2024-02-23 19:10:00";0.0;0.0;136.8
105040;8;"2024-02-23 19:10:00";0.0;0.0;136.2
105041;9;"2024-02-23 19:10:00";0.0;0.0;149.9
105042;10;"2024-02-23 19:10:00";0.0;0.0;137.6
105043;6;"2024-02-23 20:10:01";0.0;0.0;135.8
105044;7;"2024-02-23 20:10:01";0.0;0.0;136.8
105045;8;"2024-02-23 20:10:01";0.0;0.0;136.2
105046;9;"2024-02-23 20:10:01";0.0;0.0;149.9
105047;10;"2024-02-23 20:10:01";0.0;0.0;137.6
105048;6;"2024-02-23 21:10:00";0.0;0.0;135.8
105049;7;"2024-02-23 21:10:00";0.0;0.0;136.8
105050;8;"2024-02-23 21:10:00";0.0;0.0;136.2
105051;9;"2024-02-23 21:10:00";0.0;0.0;149.9
105052;10;"2024-02-23 21:10:00";0.0;0.0;137.6
105053;6;"2024-02-23 22:10:00";0.0;0.0;135.8
