id,time_,icon,precipitation,temp_air,wind_speed,wind_dir,ari_pressure,humidity,cloud_precent,province,city
57,"2024-02-27 23:00:00",,2.3,3.2,3.2,东风,1020.6hPa,89.3%,70%,NULL,NULL
58,"2024-02-28 02:00:00",,2.3,4,3,东北风,1020.2hPa,91%,70%,NULL,NULL
59,"2024-02-28 05:00:00",,2.3,4.2,3.2,北风,1019.1hPa,92.7%,70%,NULL,NULL
60,"2024-02-28 08:00:00",,2.3,4.4,3.3,北风,1020hPa,92.5%,72.1%,NULL,NULL
61,"2024-02-28 11:00:00",,0.6,5.1,2.9,西北风,1019.2hPa,92.3%,85.2%,NULL,NULL
62,"2024-02-28 14:00:00",,1.1,6.1,3.3,西北风,1015.8hPa,92%,95.3%,NULL,NULL
63,"2024-02-28 17:00:00",,2.3,6.6,2.6,西北风,1015.2hPa,92.8%,90.3%,NULL,NULL
64,"2024-02-28 20:00:00",,2.2,6.3,2.9,西风,1014.9hPa,93.7%,94.3%,NULL,NULL
65,"2024-02-28 11:00:00",,0.6,5.1,2.9,西北风,1019.2hPa,92.3%,85.2%,NULL,NULL
66,"2024-02-28 14:00:00",,1.1,6.1,3.3,西北风,1015.8hPa,92%,95.3%,NULL,NULL
67,"2024-02-28 17:00:00",,2.3,6.6,2.6,西北风,1015.2hPa,92.8%,90.3%,NULL,NULL
68,"2024-02-28 20:00:00",,2.2,6.3,2.9,西风,1014.9hPa,93.7%,94.3%,NULL,NULL
69,"2024-02-28 23:00:00",,1.5,4.6,6.6,西北风,1015.1hPa,99.4%,96.7%,NULL,NULL
70,"2024-02-29 02:00:00",,3.8,4.5,5.6,西北风,1013.6hPa,99.8%,98.8%,NULL,NULL
71,"2024-02-29 05:00:00",,2.0,4.4,7.8,北风,1013.4hPa,97.5%,91.9%,NULL,NULL
72,"2024-02-29 08:00:00",,2.7,4.8,7.9,北风,1015.5hPa,96%,94.6%,NULL,NULL
73,"2024-02-29 11:00:00",,5.7,5.4,9.4,西北风,1015.1hPa,94.6%,96.5%,NULL,NULL
74,"2024-02-29 14:00:00",,4.3,6.1,9.2,西北风,1013.1hPa,94.9%,97%,NULL,NULL
75,"2024-02-29 17:00:00",,4.7,5.2,10.7,西北风,1013.9hPa,95.2%,94.2%,NULL,NULL
76,"2024-02-29 20:00:00",,2.1,5.2,9.5,西北风,1015.5hPa,95%,97.4%,NULL,NULL
77,"2024-02-29 23:00:00",,0.6,6.6,8.9,北风,1016.8hPa,91.8%,99.6%,NULL,NULL
78,"2024-03-01 02:00:00",,1.0,6.4,9,北风,1017hPa,92.6%,97.4%,NULL,NULL
79,"2024-03-01 05:00:00",,0.5,5.8,9.3,北风,1018.2hPa,91%,87.3%,NULL,NULL
80,"2024-03-01 08:00:00",,0.2,5.1,10.7,北风,1020.7hPa,90.5%,95.7%,NULL,NULL
81,"2024-03-01 11:00:00",,0.1,5.5,7.9,北风,1020.5hPa,84%,96.6%,NULL,NULL
82,"2024-03-01 14:00:00",,0.4,7.8,6.9,北风,1019hPa,76%,90.1%,NULL,NULL
83,"2024-03-01 17:00:00",,0.4,6.9,7.2,东北风,1019.7hPa,75.8%,87.5%,NULL,NULL
84,"2024-03-01 20:00:00",,0.1,6.2,6.9,东北风,1021.8hPa,69.1%,53%,NULL,NULL
85,"2024-03-01 23:00:00",,0.0,3.9,3.3,东北风,1022.7hPa,78.2%,80%,NULL,NULL
86,"2024-03-02 02:00:00",,0.0,2,2.2,东风,1021.3hPa,82%,80%,NULL,NULL
87,"2024-03-02 05:00:00",,0.0,2,2.3,东风,1021.5hPa,78.1%,80%,NULL,NULL
88,"2024-03-02 08:00:00",,0.0,1.8,2.8,东风,1022.1hPa,72.3%,80%,NULL,NULL
89,"2024-03-02 11:00:00",,0.0,7.5,1.9,东南风,1021hPa,66.4%,80%,NULL,NULL
90,"2024-03-02 14:00:00",,0.0,11.5,3.3,东南风,1017.5hPa,60.7%,85%,NULL,NULL
91,"2024-03-02 17:00:00",,0.0,10.6,3.3,东风,1016.8hPa,60.4%,80%,NULL,NULL
92,"2024-03-02 20:00:00",,0.0,7.9,3,东风,1017.3hPa,53.9%,80%,NULL,NULL
93,"2024-03-02 23:00:00",,0.0,2.9,3.1,东南风,1016.8hPa,74.9%,14.4%,NULL,NULL
94,"2024-03-03 02:00:00",,0.0,1.4,2.5,西南风,1015.4hPa,79.3%,10.1%,NULL,NULL
95,"2024-03-03 05:00:00",,0.0,2.8,3.3,西南风,1015hPa,80.2%,10.8%,NULL,NULL
96,"2024-03-03 08:00:00",,0.0,4.2,2.7,西南风,1015.6hPa,80.5%,10.1%,NULL,NULL
97,"2024-03-03 11:00:00",,0.0,12.6,7.9,南风,1013.6hPa,65%,80%,NULL,NULL
98,"2024-03-03 14:00:00",,0.0,15.9,7.3,东南风,1011.5hPa,53.9%,80%,NULL,NULL
99,"2024-03-03 17:00:00",,0.0,16.2,7.7,东南风,1011.5hPa,57.3%,80%,NULL,NULL
100,"2024-03-03 20:00:00",,0.0,12.6,6.7,东风,1011.5hPa,49.9%,91.4%,NULL,NULL
101,"2024-03-03 23:00:00",,4.8,9.7,2.4,东风,1011hPa,86.3%,90.3%,NULL,NULL
102,"2024-03-04 02:00:00",,0.0,8.9,2.4,东南风,1010.4hPa,88.9%,89.3%,NULL,NULL
103,"2024-03-04 05:00:00",,4.8,11,2.3,南风,1009.7hPa,90%,70%,NULL,NULL
104,"2024-03-04 08:00:00",,0.0,12.9,3.3,南风,1009hPa,87.5%,15.7%,NULL,NULL
105,"2024-03-04 11:00:00",,12.1,16.5,7.9,南风,1007hPa,70.6%,90%,NULL,NULL
106,"2024-03-04 14:00:00",,0.0,20,7.5,南风,1005hPa,70%,86.4%,NULL,NULL
107,"2024-03-04 17:00:00",,12.1,17.6,7.7,南风,1004.8hPa,77.1%,89.3%,NULL,NULL
108,"2024-03-04 20:00:00",,0.1,16.2,7.7,南风,1004.5hPa,62.7%,92.2%,NULL,NULL
109,"2024-03-04 23:00:00",,12.1,14.6,12.9,南风,1003.5hPa,90.7%,89.5%,NULL,NULL
110,"2024-03-05 02:00:00",,0.1,14.6,12.9,西南风,1002.5hPa,88.7%,86.9%,NULL,NULL
111,"2024-03-05 05:00:00",,12.1,13.4,13,西南风,1002.3hPa,88.5%,90%,NULL,NULL
112,"2024-03-05 08:00:00",,0.1,13.1,13.8,西风,1002.1hPa,88.4%,53.7%,NULL,NULL
113,"2024-03-01 17:00:00",,0.0,9,10.6,北风,1002.9hPa,63.7%,87.7%,AZJ,wenzhou
114,"2024-03-01 20:00:00",,0.0,6.8,9.9,东北风,1005.1hPa,66.3%,66.8%,AZJ,wenzhou
115,"2024-03-01 23:00:00",,0.0,4.7,3.2,东北风,1005.8hPa,69.6%,31.3%,AZJ,wenzhou
116,"2024-03-02 02:00:00",,0.0,3.6,3,东北风,1004.4hPa,76.3%,10.1%,AZJ,wenzhou
117,"2024-03-02 05:00:00",,0.0,2.5,2.9,东风,1004.4hPa,75.9%,10.1%,AZJ,wenzhou
118,"2024-03-02 08:00:00",,0.0,1.4,3.3,东北风,1004.9hPa,72.5%,10.1%,AZJ,wenzhou
119,"2024-03-02 11:00:00",,0.0,6.8,2.9,东南风,1003.5hPa,50.6%,10.1%,AZJ,wenzhou
120,"2024-03-02 14:00:00",,0.0,9,3.3,东南风,1000.2hPa,59.7%,10.1%,AZJ,wenzhou
121,"2024-03-02 11:00:00",,0.0,6.8,2.9,东南风,1003.5hPa,50.6%,10.1%,AZJ,wenzhou
122,"2024-03-02 14:00:00",,0.0,9,3.3,东南风,1000.2hPa,59.7%,10.1%,AZJ,wenzhou
123,"2024-03-02 17:00:00",,0.0,6.9,3.3,东南风,1000.2hPa,61.7%,10.1%,AZJ,wenzhou
124,"2024-03-02 20:00:00",,0.0,6,2.5,东南风,1001.2hPa,65.7%,10.1%,AZJ,wenzhou
125,"2024-03-02 23:00:00",,0.0,4.5,3,北风,1000.9hPa,74%,10.1%,AZJ,wenzhou
126,"2024-03-03 02:00:00",,0.0,4,3.1,西北风,999.6hPa,79.2%,10.1%,AZJ,wenzhou
127,"2024-03-03 05:00:00",,0.0,2.6,2.8,西北风,998.8hPa,83.2%,10.1%,AZJ,wenzhou
128,"2024-03-03 08:00:00",,0.0,3.6,3.3,西北风,1000hPa,73.9%,10.1%,AZJ,wenzhou
129,"2024-03-03 11:00:00",,2.3,9.3,7.6,东南风,999.3hPa,47.4%,70%,AZJ,wenzhou
130,"2024-03-03 14:00:00",,2.3,12.9,7.9,东南风,996.1hPa,60.5%,70%,AZJ,wenzhou
131,"2024-03-03 17:00:00",,2.3,10.5,7.6,东南风,995.8hPa,67%,84.2%,AZJ,wenzhou
132,"2024-03-03 20:00:00",,2.3,6,7.2,东北风,997.3hPa,77.8%,85.6%,AZJ,wenzhou
133,"2024-03-03 23:00:00",,0.0,6.6,3.2,西北风,996.8hPa,82.2%,60.5%,AZJ,wenzhou
134,"2024-03-04 02:00:00",,0.0,6.8,3.1,西北风,994.4hPa,93.2%,81.4%,AZJ,wenzhou
135,"2024-03-04 05:00:00",,0.2,7.2,3.3,西北风,993.2hPa,90%,98.8%,AZJ,wenzhou
136,"2024-03-04 08:00:00",,0.3,9.8,3.1,西北风,993.2hPa,63.6%,94.2%,AZJ,wenzhou
137,"2024-03-04 11:00:00",,1.8,16.1,6.5,东南风,992hPa,76.2%,90.6%,AZJ,wenzhou
138,"2024-03-04 14:00:00",,0.6,20.3,7.1,东南风,988.6hPa,82.5%,75.4%,AZJ,wenzhou
139,"2024-03-04 17:00:00",,0.0,17.4,7.9,东南风,987.7hPa,86%,58.5%,AZJ,wenzhou
